id,title,wikipedia_url,birth_date,death_date,influenced_by,influenced,period_life,school_teaching
604057,Эпихарм,https://ru.wikipedia.org/wiki/Эпихарм,кон. VI века до н. э.[1],1-я половина V века до н. э.[1],"Пифагор, Гераклит",Платон,досократики,
606132,"Семёнов, Юрий Иванович",https://ru.wikipedia.org/wiki/Семёнов%2C_Юрий_Иванович,,,,,,
609189,"Алексеев, Никита Глебович",https://ru.wikipedia.org/wiki/Алексеев%2C_Никита_Глебович,,,,,,
609766,Питтак,https://ru.wikipedia.org/wiki/Питтак,650-е до н. э.,570-е до н. э.,,,античность,
609940,Фульберт Шартрский,https://ru.wikipedia.org/wiki/Фульберт_Шартрский,ок. 980,1028(1028),,Беренгар Турский,,шартрская школа
611816,"Шеварёв, Пётр Алексеевич",https://ru.wikipedia.org/wiki/Шеварёв%2C_Пётр_Алексеевич,,,,,,
612405,"Кузнецова, Наталия Ивановна",https://ru.wikipedia.org/wiki/Кузнецова%2C_Наталия_Ивановна,30 августа 1947(1947-08-30) (77 лет),,"Н. Ф. Овчинников, Г. П. Щедровицкий, М. А. Розов",,,
612540,"Швырёв, Владимир Сергеевич",https://ru.wikipedia.org/wiki/Швырёв%2C_Владимир_Сергеевич,14 января 1934(1934-01-14),23 мая 2008(2008-05-23) (74 года),Г. П. Щедровицкий,,,
613663,"Тугаринов, Василий Петрович",https://ru.wikipedia.org/wiki/Тугаринов%2C_Василий_Петрович,29 декабря 1898(1898-12-29),8 марта 1978(1978-03-08) (79 лет),,Н. С. Гордиенко,,Ленинградская онтологическая школа
618378,Алкмеон Кротонский,https://ru.wikipedia.org/wiki/Алкмеон_Кротонский,VI век до н.э.,V век до н.э.,Пифагор,"Платон, Аристотель",Древнегреческая философия,
623604,"Хевеши, Мария Акошевна",https://ru.wikipedia.org/wiki/Хевеши%2C_Мария_Акошевна,,,,,,
623624,"Бутенко, Анатолий Павлович",https://ru.wikipedia.org/wiki/Бутенко%2C_Анатолий_Павлович,,,,,,
624468,Гуго Сен-Викторский,https://ru.wikipedia.org/wiki/Гуго_Сен-Викторский,1096[1],1141[2],,,,
624488,Гильом из Шампо,https://ru.wikipedia.org/wiki/Гильом_из_Шампо,ок. 1068,1121(1121),,,,схоластика/реализм
624509,Ришар Сен-Викторский,https://ru.wikipedia.org/wiki/Ришар_Сен-Викторский,около 1110[1][2],10 марта 1173(1173-03-10)[3][4],,,,
624532,Иоанн Скот Эриугена,https://ru.wikipedia.org/wiki/Иоанн_Скот_Эриугена,810(0810),877(0877),Псевдо-Дионисий Ареопагит,,поколение IX века[вд],
